query,tfidf_only_mrr,tfidf_only_p5,tfidf_only_r5,tfidf_only_ndcg,bm25_only_mrr,bm25_only_p5,bm25_only_r5,bm25_only_ndcg,hybrid_no_optimizer_mrr,hybrid_no_optimizer_p5,hybrid_no_optimizer_r5,hybrid_no_optimizer_ndcg,hybrid_with_optimizer_mrr,hybrid_with_optimizer_p5,hybrid_with_optimizer_r5,hybrid_with_optimizer_ndcg
machine learning,0.0,0.0,0.0,0.0,0.5,0.2,1.0,0.6309297535714575,0.5,0.2,1.0,0.6309297535714575,1.0,0.2,1.0,1.0
intruder detection,1.0,0.2,1.0,1.0,0.5,0.2,1.0,0.6309297535714575,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0
poverty dynamics,0.5,0.2,1.0,0.6309297535714575,0.5,0.2,1.0,0.6309297535714575,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0
plant disease detection,0.3333333333333333,0.2,1.0,0.5,0.5,0.2,1.0,0.6309297535714575,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0
malaria,1.0,0.2,1.0,1.0,0.5,0.2,1.0,0.6309297535714575,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0
deep learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neural networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human intruder detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agricultural productivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malaria prevention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plant disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image classification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural language processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthcare analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
community development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citizen science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soil fertility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop yield prediction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
