topic,keywords
0,"rural, respondents, agricultural, development, household, maternal, status, farmers, food, health, child, prof"
1,"mr, soil, prof, 12, using, sc, 11, crop, 15, production, 13, 14"
2,"model, gas, economic, growth, energy, production, countries, sc, africa, life, economics, models"
3,"activity, prof, mg, mr, using, ml, kg, compounds, appreciate, rats, extract, cancer"
4,"education, students, attitude, prof, school, knowledge, achievement, treatment, teachers, learning, significant, studies"
5,"mr, professor, studies, state, prof, conflict, appreciate, framework, encouragement, programme, government, grateful"
6,"mr, universities, studies, prof, african, media, use, library, cultural, social, academic, women"
7,"poverty, trade, risk, language, nigerian, banks, breast, poor, exchange, bank, rural, cocoa"
8,"mr, 11, food, 12, using, 13, 14, determination, appreciate, 16, 15, prof"
9,"model, results, electricity, figure, using, engineering, technology, computer, test, 11, quality, concrete"
